"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US02282","Yakutat City and Borough, Alaska","597","112","null","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5305","*****","*****","null",
"0500000US04001","Apache County, Arizona","71714","*****","*****","null",
"0500000US04003","Cochise County, Arizona","126442","*****","*****","null",
"0500000US04005","Coconino County, Arizona","142254","*****","*****","null",
"0500000US04007","Gila County, Arizona","53846","*****","*****","null",
"0500000US04009","Graham County, Arizona","38304","*****","*****","null",
"0500000US04011","Greenlee County, Arizona","9465","*****","*****","null",
"0500000US04012","La Paz County, Arizona","21035","*****","*****","null",
"0500000US04013","Maricopa County, Arizona","4412779","*****","*****","null",
"0500000US04015","Mohave County, Arizona","210998","*****","*****","null",
"0500000US04017","Navajo County, Arizona","110271","*****","*****","null",
"0500000US04019","Pima County, Arizona","1038476","*****","*****","null",
"0500000US04021","Pinal County, Arizona","447559","*****","*****","null",
"0500000US04023","Santa Cruz County, Arizona","46594","*****","*****","null",
"0500000US04025","Yavapai County, Arizona","232396","*****","*****","null",
"0500000US04027","Yuma County, Arizona","211931","*****","*****","null",
"0500000US05001","Arkansas County, Arkansas","17761","*****","*****","null",
"0500000US05003","Ashley County, Arkansas","20000","*****","*****","null",
"0500000US05005","Baxter County, Arkansas","41673","*****","*****","null",
"0500000US05007","Benton County, Arkansas","273510","*****","*****","null",
"0500000US05009","Boone County, Arkansas","37525","*****","*****","null",
"0500000US05011","Bradley County, Arkansas","10805","*****","*****","null",
"0500000US05013","Calhoun County, Arkansas","5160","*****","*****","null",
"0500000US05015","Carroll County, Arkansas","28062","*****","*****","null",
"0500000US05017","Chicot County, Arkansas","10433","*****","*****","null",
"0500000US05019","Clark County, Arkansas","22341","*****","*****","null",
"0500000US05021","Clay County, Arkansas","14710","*****","*****","null",
"0500000US05023","Cleburne County, Arkansas","25063","*****","*****","null",
"0500000US05025","Cleveland County, Arkansas","8063","*****","*****","null",
"0500000US05027","Columbia County, Arkansas","23620","*****","*****","null",
"0500000US05029","Conway County, Arkansas","20895","*****","*****","null",
"0500000US05031","Craighead County, Arkansas","109081","*****","*****","null",
"0500000US05033","Crawford County, Arkansas","63118","*****","*****","null",
"0500000US05035","Crittenden County, Arkansas","48381","*****","*****","null",
"0500000US05037","Cross County, Arkansas","16576","*****","*****","null",
"0500000US05039","Dallas County, Arkansas","7114","*****","*****","null",
"0500000US05041","Desha County, Arkansas","11538","*****","*****","null",
"0500000US05043","Drew County, Arkansas","18263","*****","*****","null",
"0500000US05045","Faulkner County, Arkansas","124800","*****","*****","null",
"0500000US05047","Franklin County, Arkansas","17785","*****","*****","null",
"0500000US05049","Fulton County, Arkansas","12301","*****","*****","null",
"0500000US05051","Garland County, Arkansas","99043","*****","*****","null",
"0500000US05053","Grant County, Arkansas","18229","*****","*****","null",
"0500000US05055","Greene County, Arkansas","45197","*****","*****","null",
"0500000US05057","Hempstead County, Arkansas","21695","*****","*****","null",
